person_id,name,role,account_age_days,district,state,lat,lng
P000001,Aryan Maharaj,normal,2521,Nagpur,Maharashtra,21.17582,79.12582
P000002,Udant Dewan,normal,476,Alwar,Rajasthan,27.51464,76.66974
P000003,Gagan Sami,normal,2249,Mangaluru,Karnataka,12.89784,74.83551
P000004,Ayushman Chander,normal,2894,New Delhi,Delhi,28.64876,77.21794
P000005,Viraj Tiwari,normal,2205,Alwar,Rajasthan,27.48569,76.6212
P000006,Rushil Saini,normal,2952,Pune,Maharashtra,18.54802,73.83961
P000007,Saumya Mall,normal,1703,Noida,Uttar Pradesh,28.55336,77.41762
P000008,Nathaniel Sami,normal,983,Agra,Uttar Pradesh,27.13936,77.99988
P000009,Arunima Dugal,normal,1496,Durgapur,West Bengal,23.58447,87.30233
P000010,Gayathri Chaudry,normal,2037,Howrah,West Bengal,22.58691,88.20477
P000011,Lajita Chatterjee,normal,1762,Kolkata,West Bengal,22.56697,88.40654
P000012,Hemangini Lalla,normal,909,Noida,Uttar Pradesh,28.50649,77.47614
P000013,Tripti Yadav,normal,1505,Gurugram,Haryana,28.4664,77.08976
P000014,Kritika Brar,normal,295,Ghaziabad,Uttar Pradesh,28.73815,77.44662
P000015,Janaki Handa,normal,888,Deoghar,Jharkhand,24.50806,86.61479
P000016,Chakradev Kari,normal,1141,Jaipur,Rajasthan,26.90622,75.75946
P000017,Fariq Kaul,normal,1602,Bharatpur,Rajasthan,27.22992,77.53773
P000018,Lajita Mall,normal,1793,Lucknow,Uttar Pradesh,26.7952,80.90233
P000019,Janya Gaba,normal,1054,Jamtara,Jharkhand,23.9065,86.79397
P000020,Isha Kadakia,normal,2867,Pune,Maharashtra,18.60413,73.91963
P000021,Ekbal Garg,normal,2907,New Delhi,Delhi,28.59504,77.21955
P000022,Nihal Shere,normal,695,Jamtara,Jharkhand,24.03059,86.74215
P000023,Anamika Kanda,normal,2745,Ghaziabad,Uttar Pradesh,28.70232,77.44194
P000024,Daksh Karnik,normal,2370,Nagpur,Maharashtra,21.09892,79.06747
P000025,Diya Rattan,normal,1917,Mumbai,Maharashtra,19.08817,72.88058
P000026,Dominic Kakar,normal,2414,Bengaluru,Karnataka,12.98098,77.60541
P000027,Simon Tata,normal,2540,Faridabad,Haryana,28.40936,77.37096
P000028,Tara Dhar,normal,3104,New Delhi,Delhi,28.58213,77.22659
P000029,Liam Koshy,normal,179,Bengaluru,Karnataka,12.94341,77.58742
P000030,Priya Rastogi,normal,135,Delhi Central,Delhi,28.6405,77.23941
P000031,Theodore Devi,normal,2403,New Delhi,Delhi,28.59958,77.24114
P000032,Gavin Batta,normal,1829,Agra,Uttar Pradesh,27.16913,78.02125
P000033,Michael Dutta,normal,97,Noida,Uttar Pradesh,28.53828,77.39741
P000034,Devansh Rajan,normal,643,Bharatpur,Rajasthan,27.17882,77.50341
P000035,Upadhriti Wadhwa,normal,2410,New Delhi,Delhi,28.63713,77.20673
P000036,Advay Contractor,normal,2392,Faridabad,Haryana,28.33564,77.30438
P000037,Harini Choudhury,normal,1132,Bharatpur,Rajasthan,27.15486,77.47761
P000038,Radhika Dugar,normal,624,Durgapur,West Bengal,23.5027,87.3701
P000039,Aarush Lall,normal,241,Howrah,West Bengal,22.52834,88.23055
P000040,Yashica Cherian,normal,2505,Kota,Rajasthan,25.21032,75.85252
P000041,Yashica Issac,normal,977,Faridabad,Haryana,28.38278,77.33974
P000042,Kashvi Edwin,normal,2909,Durgapur,West Bengal,23.47415,87.30015
P000043,Ekiya Suresh,normal,214,Mangaluru,Karnataka,12.86286,74.83906
P000044,Isaac Patil,normal,165,Alwar,Rajasthan,27.48558,76.65612
P000045,Wriddhish Bhardwaj,normal,190,Delhi Central,Delhi,28.62711,77.25035
P000046,Farhan Chada,normal,1024,Thane,Maharashtra,19.17376,73.00128
P000047,Ekapad Walia,normal,1232,Noida,Uttar Pradesh,28.60222,77.34685
P000048,Kabir Soman,normal,2890,Faridabad,Haryana,28.34427,77.33708
P000049,Alka Wable,normal,2104,Hubballi,Karnataka,15.3897,75.17407
P000050,Siddharth Zacharia,normal,187,Bharatpur,Rajasthan,27.18423,77.4582
P000051,Devika Rastogi,normal,821,Alwar,Rajasthan,27.54414,76.6605
P000052,Raksha Varughese,normal,1992,Dhanbad,Jharkhand,23.73583,86.39348
P000053,Jai Kota,normal,227,Nagpur,Maharashtra,21.17808,79.02341
P000054,Devansh Nigam,normal,945,Delhi Central,Delhi,28.6113,77.31345
P000055,Victor Kannan,normal,289,Delhi Central,Delhi,28.65524,77.20925
P000056,Ekavir Bhargava,normal,994,Kota,Rajasthan,25.21061,75.9367
P000057,Ekansh Balay,normal,2190,Faridabad,Haryana,28.40399,77.35763
P000058,Ekavir Varkey,normal,2972,Agra,Uttar Pradesh,27.16862,77.98498
P000059,Arya Sunder,normal,2776,Noida,Uttar Pradesh,28.48902,77.30633
P000060,Kevin Solanki,normal,160,Delhi Central,Delhi,28.709,77.305
P000061,Urvashi Ray,normal,1712,Asansol,West Bengal,23.71024,86.95364
P000062,Girindra Chatterjee,normal,1034,Faridabad,Haryana,28.35521,77.30152
P000063,Irya Sampath,normal,2518,Mangaluru,Karnataka,12.95201,74.81156
P000064,Unni Bhagat,normal,959,Nagpur,Maharashtra,21.18777,79.06116
P000065,Darsh Rau,normal,733,Thane,Maharashtra,19.18823,72.99398
P000066,Ikbal Kothari,normal,3020,Pune,Maharashtra,18.49754,73.85005
P000067,Ranveer Yadav,normal,693,Kolkata,West Bengal,22.61021,88.39854
P000068,Logan Sami,normal,1606,Rohtak,Haryana,28.9146,76.5601
P000069,Arya Shere,normal,3180,Kolkata,West Bengal,22.54291,88.40087
P000070,Faqid Savant,normal,1776,Jaipur,Rajasthan,26.92158,75.81672
P000071,Chandresh Zachariah,normal,1299,Mysuru,Karnataka,12.29141,76.65351
P000072,Girik Khalsa,normal,2399,Bengaluru,Karnataka,12.98675,77.54521
P000073,Niharika Sunder,normal,2930,Noida,Uttar Pradesh,28.56015,77.30668
P000074,Tanay Rattan,normal,1287,Lucknow,Uttar Pradesh,26.87893,80.9733
P000075,Nitesh Raghavan,normal,2434,Mumbai,Maharashtra,19.08039,72.97551
P000076,Madhavi Lanka,normal,12,Deoghar,Jharkhand,24.5005,86.75461
P000077,Bhavika Sampath,normal,196,Gurugram,Haryana,28.45345,77.0439
P000078,Mohammed Gupta,normal,271,Durgapur,West Bengal,23.51772,87.37507
P000079,Teerth Bhardwaj,normal,2663,Noida,Uttar Pradesh,28.56911,77.4505
P000080,Dipta Bhandari,normal,2752,Mumbai,Maharashtra,19.06863,72.86689
P000081,Vansha Thakkar,normal,972,Howrah,West Bengal,22.59225,88.26375
P000082,Dakshesh Trivedi,normal,2761,Rohtak,Haryana,28.87304,76.63451
P000083,Quincy Biswas,normal,1313,Kolkata,West Bengal,22.55613,88.34936
P000084,Wahab Raval,normal,1144,Jamtara,Jharkhand,23.92949,86.82881
P000085,Yatin Baral,normal,1591,Ranchi,Jharkhand,23.30704,85.369
P000086,Oni Virk,normal,994,Faridabad,Haryana,28.38934,77.31036
P000087,Advika Jayaraman,normal,45,Agra,Uttar Pradesh,27.20585,77.98503
P000088,William Lanka,normal,584,Jaipur,Rajasthan,26.93713,75.84938
P000089,Karan Mital,normal,1351,Alwar,Rajasthan,27.56508,76.60558
P000090,Diya Bora,normal,972,Kota,Rajasthan,25.24028,75.89081
P000091,Tara Chaudhry,normal,653,Mumbai,Maharashtra,18.99544,72.90953
P000092,Tanay Toor,normal,1809,Ranchi,Jharkhand,23.28108,85.28314
P000093,Kevin Palla,normal,1309,Ghaziabad,Uttar Pradesh,28.622,77.48598
P000094,Yash Pingle,normal,609,Rohtak,Haryana,28.9342,76.61832
P000095,Nakul Sarma,normal,2155,Howrah,West Bengal,22.58725,88.23168
P000096,Abhiram Mistry,normal,2934,Ghaziabad,Uttar Pradesh,28.69807,77.53032
P000097,Krish Lalla,normal,1058,Kota,Rajasthan,25.26695,75.91463
P000098,Hredhaan Dugal,normal,2314,Alwar,Rajasthan,27.5403,76.62801
P000099,Baghyawati Kade,normal,2654,Ranchi,Jharkhand,23.3368,85.33262
P000100,Samar Lalla,normal,805,Hubballi,Karnataka,15.45389,75.06128
P000101,Zayan Behl,normal,722,Nuh,Haryana,28.14098,77.03785
P000102,Pallavi Malhotra,normal,1658,Nagpur,Maharashtra,21.11921,79.10262
P000103,Aarush Nath,normal,2910,Durgapur,West Bengal,23.51583,87.40388
P000104,Adweta Edwin,normal,1579,Jaipur,Rajasthan,26.8417,75.79168
P000105,Prisha Andra,normal,2382,Kota,Rajasthan,25.2449,75.83242
P000106,Faqid Dixit,normal,2546,Dhanbad,Jharkhand,23.82418,86.38314
P000107,Kala Divan,normal,2302,Thane,Maharashtra,19.1384,72.91081
P000108,Joshua Barman,normal,94,Faridabad,Haryana,28.40208,77.23241
P000109,Janya Baral,normal,680,Lucknow,Uttar Pradesh,26.85618,80.942
P000110,Shivansh Krish,normal,2702,Pune,Maharashtra,18.49126,73.88756
P000111,Irya Ray,normal,2298,Bharatpur,Rajasthan,27.2085,77.50316
P000112,Warjas Gaba,normal,467,Hubballi,Karnataka,15.29986,75.03023
P000113,Nitara Bakshi,normal,3178,Noida,Uttar Pradesh,28.5333,77.43631
P000114,Gaurangi Sabharwal,normal,964,Thane,Maharashtra,19.19118,72.99939
P000115,Amara Dutta,normal,1769,Delhi Central,Delhi,28.69501,77.1827
P000116,Lavanya Barad,normal,2661,Pune,Maharashtra,18.50197,73.88264
P000117,Tristan Iyengar,normal,1210,Kota,Rajasthan,25.14341,75.89487
P000118,Inaya Mody,normal,2563,Kota,Rajasthan,25.14988,75.8702
P000119,Udant Bajwa,normal,365,Jaipur,Rajasthan,26.89087,75.79722
P000120,Mohini Narasimhan,normal,2586,Hubballi,Karnataka,15.37285,75.07888
P000121,Ekaraj Mallick,normal,1248,Pune,Maharashtra,18.51587,73.81619
P000122,Yashodhara Ratta,normal,2404,Thane,Maharashtra,19.22123,72.9796
P000123,Ayaan D’Alia,normal,660,Bharatpur,Rajasthan,27.23756,77.43703
P000124,Pranav Lanka,normal,1053,Gurugram,Haryana,28.55021,76.98537
P000125,Ikbal Saraf,normal,2428,New Delhi,Delhi,28.60146,77.19094
P000126,Dipta Sarin,normal,1743,Kota,Rajasthan,25.24131,75.91332
P000127,Lekha Gupta,normal,1909,Ranchi,Jharkhand,23.32156,85.29188
P000128,Chaitanya Sarin,normal,2376,Agra,Uttar Pradesh,27.17642,78.01491
P000129,Zinal Yohannan,normal,1109,Ranchi,Jharkhand,23.40645,85.27456
P000130,Januja Sankar,normal,1782,Faridabad,Haryana,28.44406,77.25791
P000131,Ganga Murthy,normal,364,Mumbai,Maharashtra,19.06925,72.91945
P000132,Charita Tripathi,normal,2892,Kolkata,West Bengal,22.55013,88.33925
P000133,Nilima Narain,normal,255,Faridabad,Haryana,28.41957,77.27526
P000134,Chakrika Datta,normal,619,Bharatpur,Rajasthan,27.19512,77.53235
P000135,Osha Raghavan,normal,434,Hubballi,Karnataka,15.41231,75.00209
P000136,Charvi Ravi,normal,270,Agra,Uttar Pradesh,27.206,77.93933
P000137,Daksha Mangat,normal,973,Thane,Maharashtra,19.13109,72.96291
P000138,Qushi Nagy,normal,2602,Delhi Central,Delhi,28.64045,77.20806
P000139,Riya Sathe,normal,1765,Kolkata,West Bengal,22.57679,88.43176
P000140,Yasti Solanki,normal,128,Howrah,West Bengal,22.56511,88.23135
P000141,Frado Mander,normal,196,Agra,Uttar Pradesh,27.15006,78.02546
P000142,Girik Keer,normal,146,Thane,Maharashtra,19.22467,72.97698
P000143,Umang Issac,normal,2766,Bharatpur,Rajasthan,27.19818,77.54183
P000144,Aryan Batra,normal,1580,Faridabad,Haryana,28.35373,77.27803
P000145,Vaishnavi Bora,normal,3010,Noida,Uttar Pradesh,28.51139,77.34728
P000146,Oeshi Hayer,normal,153,Pune,Maharashtra,18.50994,73.85896
P000147,Warda Ratta,normal,2985,Faridabad,Haryana,28.39018,77.29263
P000148,Manbir Ahluwalia,normal,308,Agra,Uttar Pradesh,27.14815,78.03897
P000149,Pavani Kanda,normal,1378,Agra,Uttar Pradesh,27.17921,78.0124
P000150,Zarna Shetty,normal,3095,Bharatpur,Rajasthan,27.31081,77.47438
P000151,Zaid Dara,normal,1891,Faridabad,Haryana,28.38113,77.28009
P000152,Kiaan Shetty,normal,1672,Howrah,West Bengal,22.57494,88.22584
P000153,Saanvi Thaman,normal,1265,Nuh,Haryana,28.09601,76.95234
