phone_number,owner_person_id,is_spoofed,telecom_circle
+919717477276,P000001,False,Maharashtra
+918354525967,P000002,False,Rajasthan
+916462940571,P000003,False,Karnataka
+919786924377,P000004,False,Delhi
+918794912616,P000005,False,Rajasthan
+917406386861,P000006,False,Maharashtra
+918607196431,P000007,False,UP West
+916455776289,P000008,False,UP West
+916179456498,P000009,False,West Bengal
+916082729999,P000010,False,West Bengal
+918315692168,P000011,False,Kolkata
+919317138892,P000012,False,UP West
+918469545298,P000013,False,Haryana
+918874562040,P000014,False,UP West
+918417035785,P000015,False,Bihar & Jharkhand
+916633975111,P000016,False,Rajasthan
+916334244195,P000017,False,Rajasthan
+919066558856,P000018,False,UP East
+916429259661,P000019,False,Bihar & Jharkhand
+916373614138,P000020,False,Maharashtra
+916826054879,P000021,False,Delhi
+917379464079,P000022,False,Bihar & Jharkhand
+918035147171,P000023,False,UP West
+919795114838,P000024,False,Maharashtra
+918139135442,P000025,False,Maharashtra
+917157611648,P000026,False,Karnataka
+916270967183,P000027,False,Haryana
+918110588410,P000028,False,Delhi
+919288908408,P000029,False,Karnataka
+917040151299,P000030,False,Delhi
+916070201233,P000031,False,Delhi
+918301342632,P000032,False,UP West
+918400783956,P000033,False,UP West
+918652433056,P000034,False,Rajasthan
+917519291598,P000035,False,Delhi
+917372261573,P000036,False,Haryana
+916525088302,P000037,False,Rajasthan
+917918931223,P000038,False,West Bengal
+917670203255,P000039,False,West Bengal
+917582917215,P000040,False,Rajasthan
+918007314456,P000041,False,Haryana
+918809219112,P000042,False,West Bengal
+919464973455,P000043,False,Karnataka
+918657026580,P000044,False,Rajasthan
+918671612808,P000045,False,Delhi
+919533580706,P000046,False,Maharashtra
+917453279916,P000047,False,UP West
+918619890469,P000048,False,Haryana
+918267008271,P000049,False,Karnataka
+919455117842,P000050,False,Rajasthan
+919162569243,P000051,False,Rajasthan
+916930384617,P000052,False,Bihar & Jharkhand
+918230714287,P000053,False,Maharashtra
+918813159345,P000054,False,Delhi
+918825950318,P000055,False,Delhi
+918897302199,P000056,False,Rajasthan
+917619684647,P000057,False,Haryana
+919094071962,P000058,False,UP West
+917517019486,P000059,False,UP West
+917804985574,P000060,False,Delhi
+917162871500,P000061,False,West Bengal
+916008581715,P000062,False,Haryana
+917137793535,P000063,False,Karnataka
+917835206303,P000064,False,Maharashtra
+919710245201,P000065,False,Maharashtra
+918825458349,P000066,False,Maharashtra
+919608129211,P000067,False,Kolkata
+919622708744,P000068,False,Haryana
