upi_id,linked_account_id,handle
U000001,A000001,aryanmah950@paytm
U000002,A000002,udantdew1660@paytm
U000003,A000003,gagansam3710@paytm
U000004,A000004,ayushman8050@okhdfcbank
U000005,A000005,virajtiw6350@okhdfcbank
U000006,A000006,rushilsa9960@ybl
U000007,A000007,saumyama3816@ybl
U000008,A000008,nathanie4475@upi
U000009,A000009,arunimad853@paytm
U000010,A000010,gayathri4675@paytm
U000011,A000011,lajitach8961@okicici
U000012,A000012,hemangin4605@paytm
U000013,A000013,triptiya8908@okhdfcbank
U000014,A000014,kritikab3678@ybl
U000015,A000015,janakiha5067@paytm
U000016,A000016,chakrade5972@okaxis
U000017,A000017,fariqkau8295@okaxis
U000018,A000018,lajitama9590@okhdfcbank
U000019,A000019,janyagab563@paytm
U000020,A000020,ishakada2829@okhdfcbank
U000021,A000021,ekbalgar6427@paytm
U000022,A000022,nihalshe7371@okicici
U000023,A000023,anamikak6332@oksbi
U000024,A000024,dakshkar4456@paytm
U000025,A000025,diyaratt7993@oksbi
U000026,A000026,dominick5326@okicici
U000027,A000027,simontat7179@okicici
U000028,A000028,taradhar7384@paytm
U000029,A000029,liamkosh7769@okhdfcbank
U000030,A000030,priyaras8198@paytm
U000031,A000031,theodore9801@okaxis
U000032,A000032,gavinbat2490@upi
U000033,A000033,michaeld3053@paytm
U000034,A000034,devanshr5474@ybl
U000035,A000035,upadhrit5207@oksbi
U000036,A000036,advaycon7063@paytm
U000037,A000037,harinich6411@ybl
U000038,A000038,radhikad7554@okaxis
U000039,A000039,aarushla5565@ybl
U000040,A000040,yashicac5874@okicici
U000041,A000041,yashicai1432@ybl
U000042,A000042,kashvied8668@okaxis
U000043,A000043,ekiyasur8750@upi
U000044,A000044,isaacpat1101@paytm
U000045,A000045,wriddhis7000@upi
U000046,A000046,farhanch3425@okicici
U000047,A000047,ekapadwa5551@okhdfcbank
U000048,A000048,kabirsom5299@oksbi
U000049,A000049,alkawabl2563@paytm
U000050,A000050,siddhart5725@okhdfcbank
U000051,A000051,devikara26@okicici
U000052,A000052,rakshava7441@okicici
U000053,A000053,jaikota6204@okhdfcbank
U000054,A000054,devanshn803@okicici
U000055,A000055,victorka7253@okicici
U000056,A000056,ekavirbh3887@okhdfcbank
U000057,A000057,ekanshba2320@paytm
U000058,A000058,ekavirva4285@okicici
U000059,A000059,aryasund7336@ybl
U000060,A000060,kevinsol241@upi
U000061,A000061,urvashir7690@okhdfcbank
U000062,A000062,girindra4689@okhdfcbank
U000063,A000063,iryasamp5889@okhdfcbank
U000064,A000064,unnibhag7353@paytm
U000065,A000065,darshrau1860@oksbi
U000066,A000066,ikbalkot4910@okicici
U000067,A000067,ranveery26@okicici
U000068,A000068,logansam510@okhdfcbank
U000069,A000069,aryasher1298@paytm
U000070,A000070,faqidsav5840@okhdfcbank
U000071,A000071,chandres7199@paytm
U000072,A000072,girikkha1632@paytm
U000073,A000073,niharika9528@paytm
U000074,A000074,tanayrat8566@okaxis
U000075,A000075,niteshra4569@ybl
U000076,A000076,madhavil7001@paytm
U000077,A000077,bhavikas2713@oksbi
U000078,A000078,mohammed1191@upi
U000079,A000079,teerthbh8015@oksbi
U000080,A000080,diptabha3428@oksbi
U000081,A000081,vanshath4651@okicici
U000082,A000082,dakshesh1844@upi
U000083,A000083,quincybi3726@okaxis
U000084,A000084,wahabrav20@ybl
U000085,A000085,yatinbar4152@oksbi
U000086,A000086,onivirk9296@paytm
U000087,A000087,advikaja9157@paytm
U000088,A000088,williaml8661@ybl
U000089,A000089,karanmit9701@okicici
U000090,A000090,diyabora6692@ybl
U000091,A000091,tarachau5681@paytm
U000092,A000092,tanaytoo1884@upi
U000093,A000093,kevinpal8377@ybl
U000094,A000094,yashping4478@okhdfcbank
U000095,A000095,nakulsar4316@oksbi
U000096,A000096,abhiramm7223@okaxis
U000097,A000097,krishlal7080@okhdfcbank
U000098,A000098,hredhaan3622@okhdfcbank
U000099,A000099,baghyawa416@oksbi
U000100,A000100,samarlal9487@okhdfcbank
U000101,A000101,zayanbeh9026@oksbi
U000102,A000102,pallavim5933@paytm
U000103,A000103,aarushna3023@okicici
U000104,A000104,adwetaed1993@okhdfcbank
U000105,A000105,prishaan7877@okaxis
U000106,A000106,faqiddix8206@okicici
U000107,A000107,kaladiva599@upi
U000108,A000108,joshuaba4947@okaxis
U000109,A000109,janyabar6292@upi
U000110,A000110,shivansh8120@upi
U000111,A000111,iryaray7380@paytm
U000112,A000112,warjasga1896@okaxis
U000113,A000113,nitaraba1318@oksbi
U000114,A000114,gaurangi2254@ybl
U000115,A000115,amaradut5380@paytm
U000116,A000116,lavanyab2390@ybl
U000117,A000117,tristani1575@upi
U000118,A000118,inayamod3019@oksbi
U000119,A000119,udantbaj3970@upi
U000120,A000120,mohinina1088@ybl
U000121,A000121,ekarajma9028@paytm
U000122,A000122,yashodha3081@ybl
U000123,A000123,ayaandal6862@upi
U000124,A000124,pranavla3280@ybl
U000125,A000125,ikbalsar7605@okaxis
U000126,A000126,diptasar5135@okaxis
U000127,A000127,lekhagup6269@okicici
U000128,A000128,chaitany7509@upi
U000129,A000129,zinalyoh9061@upi
U000130,A000130,janujasa572@oksbi
U000131,A000131,gangamur1562@oksbi
U000132,A000132,charitat9596@upi
U000133,A000133,nilimana7767@oksbi
U000134,A000134,chakrika5330@okhdfcbank
U000135,A000135,osharagh4177@okaxis
U000136,A000136,charvira5934@upi
U000137,A000137,dakshama893@upi
U000138,A000138,qushinag6897@okaxis
U000139,A000139,riyasath3743@paytm
U000140,A000140,yastisol980@paytm
U000141,A000141,fradoman1475@okhdfcbank
U000142,A000142,girikkee5481@okicici
U000143,A000143,umangiss1872@oksbi
U000144,A000144,aryanbat2665@oksbi
U000145,A000145,vaishnav9927@okaxis
U000146,A000146,oeshihay9124@okicici
U000147,A000147,wardarat7740@paytm
U000148,A000148,manbirah7393@paytm
U000149,A000149,pavanika8937@paytm
U000150,A000150,zarnashe5786@paytm
U000151,A000151,zaiddara8160@okaxis
U000152,A000152,kiaanshe7641@okaxis
U000153,A000153,saanvith8983@okaxis
U000154,A000154,sanayadu4678@okicici
U000155,A000155,shivanil5878@okicici
U000156,A000156,aradhana8341@upi
U000157,A000157,williamm3100@oksbi
U000158,A000158,farasman441@upi
U000159,A000159,anitanay40@oksbi
U000160,A000160,farisdev2097@okhdfcbank
U000161,A000161,vihaanra700@upi
U000162,A000162,tanishbh289@okaxis
U000163,A000163,nikitana4627@ybl
U000164,A000164,ojasvibh1780@upi
U000165,A000165,osharama5556@oksbi
U000166,A000166,lajitaso3490@okhdfcbank
U000167,A000167,indirami6319@okhdfcbank
U000168,A000168,oniyohan3384@okaxis
U000169,A000169,vinayaka1020@paytm
U000170,A000170,rajatasu3705@okaxis
U000171,A000171,lopanaya7726@ybl
U000172,A000172,noahsiba7727@upi
U000173,A000173,avirames8367@okhdfcbank
U000174,A000174,fiyazsan6167@ybl
U000175,A000175,triyagop9698@ybl
U000176,A000176,abharagh1162@paytm
U000177,A000177,siddhart6202@paytm
U000178,A000178,geetikar6375@upi
U000179,A000179,oviyakri325@okaxis
U000180,A000180,upmabahl3516@upi
U000181,A000181,inayakap6304@oksbi
U000182,A000182,banjeetb6648@okhdfcbank
U000183,A000183,ryanbahr1839@okaxis
U000184,A000184,williamd8179@okhdfcbank
U000185,A000185,ishwarka2358@upi
U000186,A000186,aahanapi8925@okicici
U000187,A000187,ishwarga2524@okicici
U000188,A000188,hritikba4605@okhdfcbank
U000189,A000189,keyarang2260@okaxis
U000190,A000190,faqidkib5060@okaxis
U000191,A000191,charvida1360@paytm
U000192,A000192,idikawal826@ybl
U000193,A000193,kamalabi1846@okhdfcbank
U000194,A000194,adviksal9740@upi
U000195,A000195,hiteshsa2711@ybl
U000196,A000196,triptidu4122@okicici
U000197,A000197,patrickv4109@okicici
U000198,A000198,vedashro3152@okaxis
U000199,A000199,amritana893@okicici
U000200,A000200,gabrielm8723@oksbi
U000201,A000201,yagneshs609@oksbi
U000202,A000202,gayathri1565@upi
U000203,A000203,ektagopa9133@oksbi
U000204,A000204,simonpan9924@oksbi
U000205,A000205,harinima1004@oksbi
U000206,A000206,advaithv8544@upi
U000207,A000207,frederic8893@okaxis
U000208,A000208,vrindakh55@ybl
U000209,A000209,vrittise4454@okaxis
U000210,A000210,girikmen1524@okaxis
